"","player_id","Year","market_value_in_eur","value_increase","matches","club_changed","type_ratio","ever_captain"
"1",3333,"2016",15000000,0,40,0,19,1
"2",3333,"2017",12000000,0,49,0,1.45,1
"3",3333,"2018",15000000,1,48,0,2.2,1
"4",3333,"2019",12000000,0,52,0,0.857142857142857,1
"5",3333,"2020",5000000,0,29,0,0.705882352941177,1
"6",3333,"2021",2000000,0,41,0,0.863636363636364,1
"7",3333,"2022",2000000,0,50,0,0.315789473684211,1
"8",3333,"2023",1000000,0,25,0,0.25,1
"9",4742,"2016",1000000,0,28,0,13,0
"10",4742,"2017",650000,0,14,1,3.66666666666667,0
"11",4742,"2018",250000,0,27,0,1.7,0
"12",4742,"2019",150000,0,22,0,1.2,0
"13",4742,"2020",150000,0,21,0,0.5,0
"14",4742,"2021",100000,0,12,1,2,0
"15",4742,"2022",75000,0,9,0,8,1
"16",4742,"2023",50000,0,16,0,4.33333333333333,1
"17",5336,"2016",450000,0,19,1,5.33333333333333,0
"18",5336,"2017",400000,0,29,0,1.41666666666667,0
"19",5336,"2018",450000,1,28,0,2.5,0
"20",5336,"2019",400000,0,29,1,2.625,0
"21",5336,"2020",350000,0,16,0,7,1
"22",5336,"2021",350000,0,29,0,6.25,1
"23",5336,"2022",450000,1,26,0,25,1
"24",5336,"2023",450000,0,6,0,1,1
"25",7161,"2016",4000000,0,42,0,0.166666666666667,0
"26",7161,"2017",3000000,0,30,0,2,0
"27",7161,"2018",12000000,1,31,0,2.875,0
"28",7161,"2019",9000000,0,31,0,1.21428571428571,0
"29",7161,"2020",14000000,1,29,0,6.25,0
"30",7161,"2021",16000000,1,38,0,6.6,0
"31",7161,"2022",13000000,0,27,0,26,0
"32",7161,"2023",13000000,0,18,0,17,1
"33",7663,"2016",1000000,0,36,0,2,1
"34",7663,"2017",500000,0,33,0,1.75,1
"35",7663,"2018",500000,0,34,0,2.4,1
"36",7663,"2019",2000000,1,40,0,1.5,1
"37",7663,"2020",1500000,0,36,0,1.76923076923077,1
"38",7663,"2021",1500000,0,48,0,0.411764705882353,1
"39",7663,"2022",1500000,0,37,0,0.37037037037037,1
"40",7663,"2023",1500000,0,26,0,0.181818181818182,1
"41",7825,"2016",3000000,0,48,0,47,1
"42",7825,"2017",2000000,0,54,0,12.5,0
"43",7825,"2018",1000000,0,47,1,1.35,0
"44",7825,"2019",800000,0,32,0,0.185185185185185,0
"45",7825,"2020",800000,0,38,1,2.16666666666667,0
"46",7825,"2021",800000,0,53,0,2.53333333333333,0
"47",7825,"2022",700000,0,38,1,0.225806451612903,0
"48",7825,"2023",700000,0,25,0,7.33333333333333,0
"49",9335,"2016",2000000,0,29,0,1.23076923076923,0
"50",9335,"2017",6000000,1,26,0,26,1
"51",9335,"2018",5000000,0,10,1,1.5,0
"52",9335,"2019",2500000,0,33,1,0.178571428571429,0
"53",9335,"2020",2000000,0,21,0,0.235294117647059,0
"54",9335,"2021",1500000,0,18,1,0.8,0
"55",9335,"2022",800000,0,27,1,0.5,0
"56",9335,"2023",300000,0,9,0,0.125,0
"57",11530,"2016",2000000,0,31,0,6.75,0
"58",11530,"2017",3250000,1,27,1,2.375,0
"59",11530,"2018",3000000,0,20,1,1.85714285714286,0
"60",11530,"2019",2500000,0,36,0,1.76923076923077,0
"61",11530,"2020",2000000,0,24,0,1,0
"62",11530,"2021",2000000,0,38,1,1.71428571428571,0
"63",11530,"2022",1700000,0,30,0,29,0
"64",11530,"2023",850000,0,8,0,8,0
"65",12282,"2016",22000000,0,52,0,6.42857142857143,0
"66",12282,"2017",22000000,0,49,0,1.04166666666667,0
"67",12282,"2018",18000000,0,36,1,6.2,0
"68",12282,"2019",25000000,1,52,0,52,0
"69",12282,"2020",20000000,0,27,0,12.5,1
"70",12282,"2021",13500000,0,42,0,7.4,1
"71",12282,"2022",6000000,0,43,0,7.6,1
"72",12282,"2023",3000000,0,25,0,0.0416666666666667,0
"73",14086,"2016",10000000,0,25,0,0.315789473684211,0
"74",14086,"2017",5000000,0,42,0,2.23076923076923,1
"75",14086,"2018",7000000,1,45,0,2.75,1
"76",14086,"2019",4000000,0,46,0,2.53846153846154,1
"77",14086,"2020",2000000,0,45,1,2.46153846153846,1
"78",14086,"2021",1000000,0,45,1,0.666666666666667,0
"79",14086,"2022",1000000,0,37,0,0.541666666666667,0
"80",14086,"2023",600000,0,23,0,1.875,1
"81",14132,"2016",6000000,0,38,0,3.22222222222222,1
"82",14132,"2017",3000000,0,31,1,5.2,1
"83",14132,"2018",1500000,0,26,0,26,0
"84",14132,"2019",1000000,0,36,0,11,1
"85",14132,"2020",1000000,0,24,0,7,1
"86",14132,"2021",1000000,0,41,0,40,1
"87",14132,"2022",1000000,0,29,0,6.25,1
