"repeated_players","repeated_years"
3333,2016
3333,2017
3333,2018
3333,2019
3333,2020
3333,2021
3333,2022
3333,2023
4742,2016
4742,2017
4742,2018
4742,2019
4742,2020
4742,2021
4742,2022
4742,2023
5336,2016
5336,2017
5336,2018
5336,2019
5336,2020
5336,2021
5336,2022
5336,2023
7161,2016
7161,2017
7161,2018
7161,2019
7161,2020
7161,2021
7161,2022
7161,2023
7663,2016
7663,2017
7663,2018
7663,2019
7663,2020
7663,2021
7663,2022
7663,2023
7825,2016
7825,2017
7825,2018
7825,2019
7825,2020
7825,2021
7825,2022
7825,2023
9335,2016
9335,2017
9335,2018
9335,2019
9335,2020
9335,2021
9335,2022
9335,2023
11530,2016
11530,2017
11530,2018
11530,2019
11530,2020
11530,2021
11530,2022
11530,2023
12282,2016
12282,2017
12282,2018
12282,2019
12282,2020
12282,2021
12282,2022
12282,2023
14086,2016
14086,2017
14086,2018
14086,2019
14086,2020
14086,2021
14086,2022
14086,2023
14132,2016
14132,2017
14132,2018
14132,2019
14132,2020
14132,2021
14132,2022
14132,2023
15452,2016
15452,2017
15452,2018
15452,2019
15452,2020
15452,2021
15452,2022
15452,2023
15570,2016
15570,2017
15570,2018
15570,2019
15570,2020
15570,2021
15570,2022
15570,2023
15956,2016
15956,2017
15956,2018
15956,2019
15956,2020
15956,2021
15956,2022
15956,2023
16058,2016
16058,2017
16058,2018
16058,2019
16058,2020
16058,2021
16058,2022
16058,2023
16101,2016
16101,2017
16101,2018
16101,2019
16101,2020
16101,2021
16101,2022
16101,2023
16136,2016
16136,2017
16136,2018
16136,2019
16136,2020
16136,2021
16136,2022
16136,2023
16306,2016
16306,2017
16306,2018
16306,2019
16306,2020
16306,2021
16306,2022
16306,2023
16756,2016
16756,2017
16756,2018
16756,2019
16756,2020
16756,2021
16756,2022
16756,2023
16911,2016
16911,2017
16911,2018
16911,2019
16911,2020
16911,2021
16911,2022
16911,2023
16922,2016
16922,2017
16922,2018
16922,2019
16922,2020
16922,2021
16922,2022
16922,2023
17259,2016
17259,2017
17259,2018
17259,2019
17259,2020
17259,2021
17259,2022
17259,2023
17965,2016
17965,2017
17965,2018
17965,2019
17965,2020
17965,2021
17965,2022
17965,2023
18922,2016
18922,2017
18922,2018
18922,2019
18922,2020
18922,2021
18922,2022
18922,2023
18934,2016
18934,2017
18934,2018
18934,2019
18934,2020
18934,2021
18934,2022
18934,2023
19041,2016
19041,2017
19041,2018
19041,2019
19041,2020
19041,2021
19041,2022
19041,2023
19948,2016
19948,2017
19948,2018
19948,2019
19948,2020
19948,2021
19948,2022
19948,2023
20005,2016
20005,2017
20005,2018
20005,2019
20005,2020
20005,2021
20005,2022
20005,2023
20506,2016
20506,2017
20506,2018
20506,2019
20506,2020
20506,2021
20506,2022
20506,2023
21306,2016
21306,2017
21306,2018
21306,2019
21306,2020
21306,2021
21306,2022
21306,2023
21872,2016
21872,2017
21872,2018
21872,2019
21872,2020
21872,2021
21872,2022
21872,2023
22328,2016
22328,2017
22328,2018
22328,2019
22328,2020
22328,2021
22328,2022
22328,2023
22614,2016
22614,2017
22614,2018
22614,2019
22614,2020
22614,2021
22614,2022
22614,2023
22860,2016
22860,2017
22860,2018
22860,2019
22860,2020
22860,2021
22860,2022
22860,2023
23553,2016
23553,2017
23553,2018
23553,2019
23553,2020
23553,2021
23553,2022
23553,2023
23951,2016
23951,2017
23951,2018
23951,2019
23951,2020
23951,2021
23951,2022
23951,2023
24316,2016
24316,2017
24316,2018
24316,2019
24316,2020
24316,2021
24316,2022
24316,2023
24484,2016
24484,2017
24484,2018
24484,2019
24484,2020
24484,2021
24484,2022
24484,2023
25488,2016
25488,2017
25488,2018
25488,2019
25488,2020
25488,2021
25488,2022
25488,2023
25508,2016
25508,2017
25508,2018
25508,2019
25508,2020
25508,2021
25508,2022
25508,2023
25520,2016
25520,2017
25520,2018
25520,2019
25520,2020
25520,2021
25520,2022
25520,2023
25557,2016
25557,2017
25557,2018
25557,2019
25557,2020
25557,2021
25557,2022
25557,2023
25732,2016
25732,2017
25732,2018
25732,2019
25732,2020
25732,2021
25732,2022
25732,2023
25734,2016
25734,2017
25734,2018
25734,2019
25734,2020
